start.date;duration.s;peak.c/s;total.counts;min energy.kev;max energy.kev
26.03.2002;600;144;114072;6;12
26.03.2002;212;16;13056;6;12
26.03.2002;556;784;532416;12;25
26.03.2002;1404;1904;1539888;12;25
26.03.2002;924;1008;1171104;12;25
26.03.2002;256;44;59136;6;12
26.03.2002;224;46;51072;6;12
26.03.2002;216;46;47856;6;12
26.03.2002;632;216;207600;6;12
26.03.2002;696;320;386424;12;25
26.03.2002;1228;52;169320;12;25
26.03.2002;204;22;18984;12;25
26.03.2002;76;13;4872;6;12
27.03.2002;196;26;20136;6;12
27.03.2002;536;52;73152;6;12
27.03.2002;456;44;55632;6;12
27.03.2002;660;120;194304;6;12
27.03.2002;596;42;90648;6;12
27.03.2002;256;60;35904;6;12
27.03.2002;124;560;193848;12;25
27.03.2002;212;22;21744;6;12
27.03.2002;624;42;81936;6;12
27.03.2002;476;168;80184;6;12
27.03.2002;256;42;28344;6;12
27.03.2002;584;208;278448;6;12
27.03.2002;384;60;89952;6;12
27.03.2002;960;1136;1005528;12;25
27.03.2002;460;144;150295;6;12
27.03.2002;828;137;309147;3;6
27.03.2002;132;36;19173;6;12
27.03.2002;672;152;228360;25;50
27.03.2002;160;13;10176;6;12
27.03.2002;564;52;103344;12;25
27.03.2002;100;13;6048;12;25
28.03.2002;736;1336;1344065;12;25
28.03.2002;1612;368;821184;3;6
28.03.2002;428;200;159744;6;12
28.03.2002;892;3056;6045432;12;25
28.03.2002;672;288;656328;6;12
28.03.2002;1784;1904;5003712;6;12
28.03.2002;724;912;1766976;6;12
28.03.2002;556;2544;1215312;12;25
28.03.2002;144;44;28992;6;12
28.03.2002;504;40;92112;6;12
28.03.2002;660;56;134400;6;12
28.03.2002;412;72;107232;6;12
28.03.2002;416;84;96720;6;12
28.03.2002;536;1584;2409648;12;25
28.03.2002;204;400;375672;12;25
28.03.2002;340;24;32760;6;12
28.03.2002;84;18;6792;6;12
28.03.2002;116;16;9144;6;12
28.03.2002;212;18;15384;6;12
28.03.2002;404;68;87792;25;50
28.03.2002;908;368;912360;25;50
28.03.2002;196;16;13872;12;25
28.03.2002;1092;68;129360;12;25
28.03.2002;180;20;13128;12;25
29.03.2002;156;15;9048;6;12
29.03.2002;200;18;14520;12;25
29.03.2002;88;31;5922;6;12
29.03.2002;316;44;62544;6;12
29.03.2002;228;32;36096;6;12
29.03.2002;1280;128;434784;6;12
29.03.2002;84;36;13728;6;12
29.03.2002;484;108;151872;6;12
29.03.2002;400;120;122832;6;12
29.03.2002;1272;848;3112320;12;25
29.03.2002;604;384;778944;6;12
29.03.2002;1080;1584;3220104;12;25
29.03.2002;592;752;1174944;12;25
29.03.2002;504;288;472224;6;12
29.03.2002;604;384;513792;12;25
29.03.2002;896;272;645504;6;12
29.03.2002;772;752;763296;12;25
29.03.2002;120;40;23424;6;12
29.03.2002;236;64;47088;6;12
29.03.2002;140;36;25104;6;12
29.03.2002;312;96;86016;6;12
29.03.2002;196;48;38304;6;12
29.03.2002;540;192;209184;6;12
29.03.2002;476;88;133968;6;12
29.03.2002;184;48;39024;6;12
29.03.2002;868;76;229968;6;12
29.03.2002;252;624;302976;12;25
29.03.2002;132;96;48576;6;12
29.03.2002;128;76;51888;6;12
29.03.2002;1696;4336;11065152;12;25
29.03.2002;224;6384;1971432;25;50
29.03.2002;624;1328;1370304;12;25
29.03.2002;1284;6128;14115840;12;25
29.03.2002;432;528;808296;6;12
29.03.2002;884;3568;7250520;12;25
29.03.2002;692;688;1883520;12;25
29.03.2002;320;400;613632;6;12
29.03.2002;448;368;685560;6;12
29.03.2002;288;384;430728;6;12
29.03.2002;772;256;679392;6;12
29.03.2002;128;92;60768;6;12
29.03.2002;48;92;22656;6;12
29.03.2002;608;416;476304;6;12
29.03.2002;264;656;344664;6;12
29.03.2002;472;5616;3606192;12;25
29.03.2002;992;3056;5029152;12;25
